Status;Device ID;Location;Machine;Product;Category;Transaction;TransDate;Type;RCoil;RPrice;RQty;MCoil;MPrice;MQty;LineTotal;TransTotal;Prcd Date;;Count of Transaction;Column Labels;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Wonderful Pistachios - Variety;Food;14534190801;06/01/2022;Cash;132;2;1;132;2;1;2;2;06/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Wonderful Pistachios - Variety;Food;14534436227;06/01/2022;Cash;132;2;1;132;2;1;2;2;06/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Mini Chips Ahoy;Food;14534931183;06/01/2022;Cash;120;1.5;1;120;1.5;1;1.5;1.5;06/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Cheetos Baked - Flaming Hot;Food;14534948803;06/01/2022;Cash;114;1.5;1;114;1.5;1;1.5;1.5;06/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Newtons Fig Bar;Food;14534949842;06/01/2022;Cash;136;1.5;1;136;1.5;1;1.5;1.5;06/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;KitKat - Crisp Wafers;Food;14535309081;06/01/2022;Cash;134;2;1;134;2;1;2;2;06/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;SunChips Multigrain - Salsa;Food;14535945579;06/01/2022;Cash;122;1.5;1;122;1.5;1;1.5;1.5;06/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Bai Antioxidant - Brasilia BB;Non Carbonated;14535978454;06/01/2022;Cash;146;2.5;1;146;2.5;1;2.5;2.5;06/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Cheetos Baked - Flaming Hot;Food;14536628655;07/01/2022;Cash;114;1.5;1;114;1.5;1;1.5;1.5;07/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Snapple Diet Tea - Lemon;Non Carbonated;14537349549;07/01/2022;Cash;145;2.5;1;145;2.5;1;2.5;2.5;07/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Bubly - Grapefruit;Water;14539507650;07/01/2022;Cash;142;1.5;1;142;1.5;1;1.5;1.5;07/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Poland Springs Water;Water;14539513305;07/01/2022;Cash;144;1.5;1;144;1.5;1;1.5;1.5;07/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;KitKat - Crisp Wafers;Food;14539683541;07/01/2022;Cash;134;2;1;134;2;1;2;2;07/01/2022;;;;;;;;
